issue,solution
Values are missing(#values-are-missing),source
Zeros replace missing values(#zeros-replace-missing-values),source
Data are missing you know should be there(#data-are-missing-you-know-should-be-there),source
Rows or values are duplicated(#rows-or-values-are-duplicated),source
Spelling is inconsistent(#spelling-is-inconsistent),source
Name order is inconsistent(#name-order-is-inconsistent),source
Date formats are inconsistent(#date-formats-are-inconsistent),source
Units are not specified(#units-are-not-specified),source
Categories are badly chosen(#categories-are-badly-chosen),source
Field names are ambiguous(#field-names-are-ambiguous),source
Provenance is not documented(#provenance-is-not-documented),source
Suspicious values are present(#suspicious-values-are-present),source
Data are too coarse(#data-are-too-coarse),source
Totals differ from published aggregates(#totals-differ-from-published-aggregates),source
Spreadsheet has 65536 rows(#spreadsheet-has-65536-rows),source
Spreadsheet has 255 columns(#spreadsheet-has-255-columns),source
"Spreadsheet has dates in 1900, 1904, 1969, or 1970(#spreadsheet-has-dates-in-1900-1904-1969-or-1970)",source
Text has been converted to numbers(#text-has-been-converted-to-numbers),source
Numbers have been stored as text(#numbers-have-been-stored-as-text),source
Text is garbled(#text-is-garbled),you 
Line endings are garbled(#line-endings-are-garbled),you 
Data are in a PDF(#data-are-in-a-pdf),you 
Data are too granular(#data-are-too-granular),you 
Data were entered by humans(#data-were-entered-by-humans),you 
Data are intermingled with formatting and annotations(#data-are-intermingled-with-formatting-and-annotations),you 
Aggregations were computed on missing values(#aggregations-were-computed-on-missing-values),you 
Sample is not random(#sample-is-not-random),you 
Margin-of-error is too large(#margin-of-error-is-too-large),you 
Margin-of-error is unknown(#margin-of-error-is-unknown),you 
Sample is biased(#sample-is-biased),you 
Data have been manually edited(#data-have-been-manually-edited),you 
Inflation skews the data(#inflation-skews-the-data),you 
Natural/seasonal variation skews the data(#naturalseasonal-variation-skews-the-data),you 
Timeframe has been manipulated(#timeframe-has-been-manipulated),you 
Frame of reference has been manipulated(#frame-of-reference-has-been-manipulated),you 
Author is untrustworthy(#author-is-untrustworthy),external help
Collection process is opaque(#collection-process-is-opaque),external help
Data assert unrealistic precision(#data-assert-unrealistic-precision),external help
There are inexplicable outliers(#there-are-inexplicable-outliers),external help
An index masks underlying variation(#an-index-masks-underlying-variation),external help
Results have been p-hacked(#results-have-been-p-hacked),external help
Benford's Law fails(#benfords-law-fails),external help
Too good to be true(#too-good-to-be-true),external help
Data are aggregated to the wrong categories or geographies(#data-are-aggregated-to-the-wrong-categories-or-geographies),programmer
Data are in scanned documents(#data-are-in-scanned-documents),programmer